id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender
966,Мілена,Дрозденко,1995-01-11,16,2,8,Female
967,Левко,Швачко,2004-02-05,75,5,5,Male
968,Юстина,Супруненко,2003-12-20,44,9,4,Female
969,Альбіна,Франчук,2008-03-14,57,3,3,Female
970,Вʼячеслав,Мазур,1995-12-22,88,1,5,Male
971,Сніжана,Давимука,2003-08-04,87,0,7,Female
972,Оксана,Батіг,1993-06-18,75,1,6,Female
973,Сніжана,Макогон,2004-05-19,41,7,5,Female
974,Семен,Охримович,1998-02-25,55,4,0,Male
975,Володимир,Ажажа,1999-04-28,46,4,8,Male
976,Климент,Ґжицький,2005-06-28,35,7,4,Male
977,Алла,Алексійчук,2008-06-10,84,1,8,Female
978,Амвросій,Масоха,2005-07-01,91,7,10,Male
979,Азар,Рева,2008-11-08,17,0,5,Male
980,Марʼяна,Верховинець,2001-10-07,70,9,10,Female
981,Ірина,Барабаш,1994-09-19,68,7,4,Female
982,Олекса,Литвиненко,2008-05-21,89,8,9,Male
983,Володимира,Мазепа,1994-06-05,7,10,8,Female
984,Соломія,Стус,2008-07-16,77,10,5,Female
985,Єфрем,Архимович,1994-05-01,70,5,3,Male
986,Юстина,Ейбоженко,2007-06-01,95,0,5,Female
987,Вʼячеслав,Абрагамовський,1994-09-03,62,5,5,Male
988,Опанас,Єрченко,1998-04-17,68,8,10,Male
989,Амалія,Черненко,2007-02-12,95,10,8,Female
990,Ірина,Кабалюк,2001-11-12,44,0,5,Female
991,Зиновій,Деревʼянко,1999-04-11,1,1,3,Male
992,Ольга,Назаренко,1994-05-20,79,5,3,Female
993,Охрім,Вишиваний,2002-12-16,3,9,9,Male
994,Тимофій,Масоха,1998-06-10,47,6,5,Male
995,Дмитро,Симоненко,2006-03-27,6,6,8,Male
996,Алевтин,Тимченко,1993-12-17,19,10,3,Male
997,Софія,Дубина,1999-06-22,28,6,3,Female
998,Аліна,Шинкаренко,1994-05-19,12,7,1,Female
999,Устим,Перебийніс,2008-09-07,20,6,7,Male
